"occ","y4_hhid","indidy4","ag01_01","ag01_02","ag01_03","ag01_04"
2,"1804-001",2,"**CONFIDENTIAL**",14,1,
3,"1804-001",3,"**CONFIDENTIAL**",8,1,
1,"1805-001",1,"**CONFIDENTIAL**",37,2,"X"
2,"1805-001",2,"**CONFIDENTIAL**",2,1,
3,"1805-001",3,"**CONFIDENTIAL**",3,1,
4,"1805-001",4,"**CONFIDENTIAL**",12,1,
5,"1805-001",5,"**CONFIDENTIAL**",9,1,
6,"1805-001",6,"**CONFIDENTIAL**",7,2,
1,"1819-001",1,"**CONFIDENTIAL**",31,1,
2,"1819-001",2,"**CONFIDENTIAL**",24,2,"X"
3,"1819-001",3,"**CONFIDENTIAL**",2,2,
4,"1819-001",4,"**CONFIDENTIAL**",8,1,
5,"1819-001",5,"**CONFIDENTIAL**",15,2,
1,"1836-001",1,"**CONFIDENTIAL**",54,2,"X"
2,"1836-001",2,"**CONFIDENTIAL**",20,1,
1,"1837-001",1,"**CONFIDENTIAL**",65,1,"X"
2,"1837-001",2,"**CONFIDENTIAL**",58,2,
3,"1837-001",3,"**CONFIDENTIAL**",15,1,
4,"1837-001",4,"**CONFIDENTIAL**",13,1,
5,"1837-001",5,"**CONFIDENTIAL**",8,1,
6,"1837-001",6,"**CONFIDENTIAL**",19,1,
1,"1838-001",1,"**CONFIDENTIAL**",47,2,"X"
2,"1838-001",2,"**CONFIDENTIAL**",8,2,
3,"1838-001",3,"**CONFIDENTIAL**",4,1,
4,"1838-001",4,"**CONFIDENTIAL**",7,2,
1,"1839-001",1,"**CONFIDENTIAL**",28,1,"X"
2,"1839-001",2,"**CONFIDENTIAL**",25,2,"X"
3,"1839-001",3,"**CONFIDENTIAL**",8,1,
4,"1839-001",4,"**CONFIDENTIAL**",5,1,
5,"1839-001",5,"**CONFIDENTIAL**",2,1,
1,"1840-001",1,"**CONFIDENTIAL**",32,1,"X"
2,"1840-001",2,"**CONFIDENTIAL**",26,2,
3,"1840-001",3,"**CONFIDENTIAL**",11,2,
4,"1840-001",4,"**CONFIDENTIAL**",8,1,
5,"1840-001",5,"**CONFIDENTIAL**",6,1,
