"sample_id","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vitamin_b12",380,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vitamin_a1",440,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vitamin_a2",170,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","protein",63,"g_100g"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vanadium",0.29,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","chromium",0.039,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","manganese",19,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","iron",79,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","cobalt",0.045,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","nickel", ,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","copper",2.5,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","zinc",170,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","arsenic",0.74,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","selenium",1100,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","molybdenum",0.1,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","silver", ,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","cadmium",0.053,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","mercury",0.021,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","lead", ,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","iodine",920,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","calcium",30000,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","sodium",2600,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","potassium",12000,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","magnesium",1500,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","phosphorus",22000,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vitamin_d3",10,"mg_kg"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","folate",790,"mg_100g"
"K_003","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vitamin_b12",350,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","vitamin_a1",700,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","vitamin_a2",170,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","protein",57,"g_100g"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","vanadium",0.33,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","chromium",0.041,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","manganese",21,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","iron",77,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","cobalt",0.08,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","nickel", ,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","copper",2.2,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","zinc",180,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","arsenic",0.5,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","selenium",870,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","molybdenum",0.18,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","silver", ,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","cadmium",0.052,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","mercury",0.025,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","lead",0.024,"mg_kg"
"K_004","20-01-2022","Kisumu","Sun-dried","1","Nyandiwa beach","Omena","Rastrineobola argenteus","iodine",730,"mg_kg"
