sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
anchoa spinifer,spicule anchovy,anchoa,engraulinae,engraulidae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
anchoviella,anchovies,anchoviella,engraulinae,engraulidae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
andinoacara rivulatus,green terror,andinoacara,cichlasomatinae,cichlidae,cichliformes,actinopterygii,osteichthyes,chordata,animalia,Tilapias and other cichlids
anguilla,river eels nei,anguilla,NA,anguillidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,River eels
anguilla anguilla,european eel,anguilla,NA,anguillidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,River eels
anguilla australis,short-finned eel,anguilla,NA,anguillidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,River eels
anguilla dieffenbachii,new zealand longfin eel,anguilla,NA,anguillidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,River eels
anguilla japonica,japanese eel,anguilla,NA,anguillidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,River eels
anguilla reinhardtii,speckled longfin eel,anguilla,NA,anguillidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,River eels
anguilla rostrata,american eel,anguilla,NA,anguillidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,River eels
anguilliformes,"eels, morays, congers nei",NA,NA,NA,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
animalia,aquatic animals,NA,NA,NA,NA,NA,NA,NA,NA,Multiple ISSCAAP groups
anisotremus scapularis,,anisotremus,haemulinae,haemulidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
anisotremus virginicus,porkfish,anisotremus,haemulinae,haemulidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
anodonta,chinese pond mussel,anodonta,NA,unionidae,unionida,bivalvia,NA,mollusca,animalia,Freshwater molluscs
anodontostoma chacunda,chacunda gizzard shad,anodontostoma,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,Shads
anomalops katoptron,splitfin flashlightfish,anomalops,NA,anomalopidae,trachichthyiformes,teleostei,osteichthyes,chordata,animalia,NA
